id,track_name,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature
4sNEV09W1ZRXxzypA6RtCA,Memories,Lowfi,0.531,0.534,0.359,0.0852,0.669,0.0286,75.94,-11.636,1,3,153158,4
1siN54mpuT0ahUq4NJyKNe,calmness,ddc.,0.841,0.368,0.24,0.101,0.882,0.0414,119.315,-16.511,1,10,152778,1
3ZnuXmrsLpcfL1WRQyVQVD,beach time,sogni,0.693,0.602,0.12,0.328,0.744,0.0335,140.026,-19.662,0,10,145542,4
4VhUfS7QewHAbm89zUQQ5D,reminds me of you,ddc.,0.695,0.601,0.313,0.413,0.839,0.0399,139.917,-14.453,1,8,144628,4
24yfunW1FG2NKN5FDWv4bI,warm noon,ddc.,0.681,0.614,0.237,0.395,0.959,0.0278,98.019,-17.979,0,8,154358,4
3GV2ItcoMDTagDO4UfGl93,cloudy day,ddc.,0.668,0.607,0.257,0.276,0.966,0.0329,140.091,-17.372,0,11,164624,4
4vaRN0dLspxChKFs4c2T5G,calm evening,ddc.,0.491,0.56,0.201,0.0397,0.902,0.0353,134.011,-16.665,1,10,140057,4
43UbrGSu9nJ7YocHyN0Dos,places we used to be,ddc.,0.822,0.683,0.144,0.229,0.859,0.0304,131.982,-18.046,0,6,160052,4
51aYSSahqsV6lSeM37J5Bi,sunny,ddc.,0.427,0.581,0.241,0.329,0.96,0.0358,126.043,-16.762,0,5,167210,4
5e9BYQc87QBCZYgY3pA5se,golden hour,ddc.,0.879,0.65,0.155,0.0806,0.894,0.0469,139.996,-22.339,0,5,128850,4
62AKrgxH4OKYkSh159MNXa,home to you,Amo,0.912,0.795,0.389,0.601,0.867,0.0662,70.022,-9.051,1,0,142714,4
2ae9ecoLq8RRI8hxfiKzb4,enchanted land,ddc.,0.395,0.686,0.269,0.476,0.921,0.0363,126.011,-18.05,0,9,165538,4
0YO8SxjgHPZnEwSxnm3RX2,the secret road,sogni,0.812,0.502,0.0686,0.0839,0.826,0.0465,120.0,-22.037,0,5,128902,4
4VfOE9dQsVnzn4egwMCWWl,imaginary,sogni,0.886,0.604,0.0393,0.101,0.797,0.0325,148.001,-25.509,0,9,132586,4
23mXLvIIhGXrBfMGcAG71i,the day we met,ddc.,0.295,0.619,0.252,0.243,0.906,0.0308,128.049,-16.591,1,8,165538,4
0RZLRxXuu3iXaKMrUngjNx,i wish this never ends,fleece,0.452,0.388,0.0419,0.038,0.858,0.0305,65.03,-27.409,1,9,133996,4
6xGeCruPpW49P3E3vgM798,spring garden,ddc.,0.751,0.681,0.23,0.203,0.886,0.03,134.068,-19.217,0,7,172016,4
7uqm7VUr29LVLNxu22aD2e,close to you,Amo,0.895,0.47,0.208,0.0398,0.824,0.0488,65.584,-13.441,1,11,139030,4
7zk9gZMSRYfy4U17A2cAx0,blossom,ddc.,0.666,0.763,0.181,0.236,0.886,0.0336,132.045,-16.988,0,2,163527,4
3rXBlnGWrJrClsDaIPhaMW,Lazy Days,Lowfi,0.27,0.661,0.469,0.598,0.832,0.0302,156.039,-11.18,1,0,169423,4
6pnUCxCo2FtZYQabdyNfmL,Peaceful Journey,Lowfi,0.871,0.428,0.211,0.0749,0.837,0.085,155.381,-16.796,1,9,141111,4
0Nc1P8uv10LWPVO5rEn0fx,floating island,ddc.,0.859,0.491,0.139,0.0889,0.551,0.0821,79.885,-23.619,0,9,151002,4
1T0ZSyj0laPkTQPCiQpbf1,Soft Whispers,Lowfi,0.841,0.738,0.338,0.234,0.937,0.0327,80.962,-10.516,1,1,135741,4
48YRI0MNDot0svMR5trYMZ,serene sunset,Lowfi,0.788,0.708,0.321,0.416,0.916,0.0344,79.008,-11.939,1,1,144304,4
0TfcY4s8DeWy5CjtD7WYwg,Harmony,Lowfi,0.865,0.627,0.272,0.176,0.939,0.0419,80.969,-13.342,1,4,143333,4
3vxWqWJazDyzWX3ERQi7ea,nightfall,sogni,0.934,0.553,0.053,0.0644,0.845,0.0358,84.993,-21.204,1,8,164951,4
0CaiWFWS58THuu0RzsBRQa,Fragments of Time,Lowfi,0.713,0.598,0.4,0.236,0.813,0.032,160.079,-12.179,0,6,148313,1
3G9O1fEaP9h8zoxW5yj8xZ,café conversations,Lowfi,0.335,0.692,0.39,0.498,0.934,0.0349,82.971,-11.73,1,1,133012,4
1A3fJZu8WHo1kmjfnH5Srx,spring rain,sogni,0.987,0.601,0.0395,0.121,0.901,0.0292,110.039,-21.823,0,9,172213,4
5XiBQYFb31pgRaiD6aS1R4,still up,Lowfi,0.376,0.803,0.517,0.406,0.856,0.222,79.01,-11.146,0,5,144304,4
7sULOetL6O5BHFOzyHtvxw,Sunset Lover,Lowfi,0.798,0.715,0.302,0.329,0.874,0.0535,147.909,-13.974,1,6,142297,4
7xKjf3fMM3rdrbvmQUD6GX,flow,sogni,0.899,0.544,0.0691,0.0753,0.806,0.0284,79.983,-22.565,1,0,135616,4
1NntkP1EzF8NsqSECCfFvs,happy monday,Amo,0.618,0.474,0.543,0.0825,0.895,0.0436,49.449,-11.015,1,0,138047,3
3LFusbyWhAFtJhAho72HVh,sunday night,fleece,0.842,0.655,0.12,0.166,0.672,0.0392,85.032,-18.495,1,1,171952,4
