id,track_name,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature
1LZ00aJkKWCGimKskx6xQx,Sunshine Boulevard,Purrple Cat,0.396,0.681,0.317,0.228,0.919,0.0405,128.011,-15.699,1,3,152412,4
4dJGPTrLzhEptZ5wwLZ5j3,Beautiful Day,Purrple Cat,0.802,0.665,0.156,0.147,0.873,0.0267,99.994,-18.342,1,0,201912,4
1HP8wO3CwtW9WOrI2Vgob3,Neutral Zone,Purrple Cat,0.758,0.445,0.264,0.259,0.94,0.0312,79.502,-17.128,0,2,161946,3
7iExapVi5F8U3pJ4qn11IE,Better Days,Purrple Cat,0.56,0.708,0.152,0.214,0.912,0.0352,110.007,-14.449,0,9,157659,4
7rAhCB1PiSabycWLJHsNqL,Contact,Purrple Cat,0.922,0.679,0.343,0.097,0.864,0.0324,118.025,-16.443,0,8,156631,4
2VN52BKk8gTZJydaJyrCCs,Sonder,Purrple Cat,0.559,0.625,0.272,0.11,0.899,0.0387,122.012,-17.473,1,0,189252,4
3PAcGgK2LAYiL2Y3Hwov06,Alienated,Purrple Cat,0.917,0.699,0.12,0.14,0.917,0.0338,118.019,-14.361,0,9,181049,4
2tsPnxqQvKsd7TOcQ4ljHM,In Orbit,Purrple Cat,0.567,0.692,0.232,0.106,0.913,0.0324,121.978,-14.693,1,0,140236,4
529bNJ3aGZHXC2Uqc8xKex,Blood Moon,Purrple Cat,0.364,0.578,0.416,0.529,0.898,0.036,171.866,-13.588,0,4,159070,4
0YH5ojFS05ypYsFarVWsrI,Quiet Night,Purrple Cat,0.23,0.286,0.299,0.0463,0.909,0.0317,79.99,-15.666,1,11,242828,4
7G9NI66wRPAuN8d3q5GnvB,Squeaky Computer Chair,Purrple Cat,0.844,0.79,0.592,0.941,0.853,0.0566,131.038,-10.342,1,5,144719,4
3aqaBKDB297B5IwFquNeab,Rainy Streets,Purrple Cat,0.645,0.654,0.303,0.0835,0.93,0.0347,120.01,-16.046,0,0,168510,4
6qpVN1aU5vBcoIJzjL2f6d,Dark Moon,Purrple Cat,0.765,0.627,0.202,0.0613,0.905,0.0316,112.035,-17.703,1,8,175212,4
5zCAVeLfuSo6hLLNGjedht,The Midnight Diner,Purrple Cat,0.568,0.73,0.402,0.0387,0.846,0.0333,127.983,-12.294,0,8,177432,4
0y2GUTM3g3MTrhwU42QUSD,Moving Landscapes,Purrple Cat,0.653,0.644,0.292,0.24,0.873,0.0334,89.974,-11.854,0,6,194674,4
5E7gyUhN6NIXih9gdL3V0V,Fake Mustache,Purrple Cat,0.302,0.741,0.375,0.369,0.935,0.052,89.99,-12.565,1,0,214021,4
5ssIWBFXYqcLjpbu7QrVNW,Adrift,Purrple Cat,0.665,0.581,0.355,0.197,0.902,0.0386,82.009,-15.458,0,7,164322,4
6YMIkEFAWdNf1TQbcT9Qvc,Birdhouse,Purrple Cat,0.341,0.598,0.307,0.211,0.866,0.0453,176.013,-12.097,0,9,156868,4
